EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
1	09:32:26	0.1000	0.0221	0.0282	0.9561	0.9561	0.9561	0.9333	0.0672	0.9205	0.9240	0.9222	0.8832
2	09:36:16	0.1000	0.0221	0.0288	0.9532	0.9566	0.9549	0.9333	0.0711	0.9166	0.9246	0.9206	0.8828
3	09:39:36	0.1000	0.0222	0.0310	0.9544	0.9579	0.9562	0.9351	0.0750	0.9167	0.9276	0.9221	0.8847
4	09:43:44	0.1000	0.0219	0.0298	0.9549	0.9596	0.9573	0.9361	0.0740	0.9176	0.9286	0.9231	0.8845
5	09:48:36	0.1000	0.0220	0.0276	0.9575	0.9581	0.9578	0.9370	0.0739	0.9186	0.9233	0.9210	0.8821
6	09:54:11	0.1000	0.0218	0.0286	0.9541	0.9581	0.9561	0.9350	0.0706	0.9179	0.9267	0.9223	0.8832
7	09:58:19	0.1000	0.0216	0.0289	0.9575	0.9581	0.9578	0.9374	0.0714	0.9241	0.9225	0.9233	0.8846
8	10:02:37	0.1000	0.0211	0.0295	0.9541	0.9552	0.9547	0.9323	0.0717	0.9235	0.9258	0.9247	0.8861
9	10:06:51	0.1000	0.0203	0.0287	0.9534	0.9578	0.9556	0.9343	0.0729	0.9211	0.9297	0.9254	0.8886
10	10:10:45	0.0063	0.0183	0.0280	0.9553	0.9574	0.9564	0.9355	0.0725	0.9218	0.9281	0.9249	0.8880
