EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
1	07:39:33	0.1000	0.2641	0.0794	0.8866	0.8883	0.8874	0.8399	0.0892	0.8650	0.8736	0.8693	0.8163
2	07:41:49	0.1000	0.1064	0.0581	0.9001	0.9098	0.9049	0.8679	0.0784	0.8747	0.8939	0.8842	0.8390
3	07:45:04	0.1000	0.0840	0.0496	0.9225	0.9249	0.9237	0.8913	0.0714	0.8961	0.9042	0.9001	0.8550
4	07:48:04	0.1000	0.0702	0.0423	0.9283	0.9344	0.9313	0.9022	0.0666	0.9009	0.9108	0.9058	0.8640
5	07:51:34	0.1000	0.0613	0.0402	0.9255	0.9285	0.9270	0.8939	0.0673	0.9005	0.9058	0.9032	0.8619
6	07:52:55	0.1000	0.0551	0.0354	0.9364	0.9409	0.9386	0.9106	0.0631	0.9076	0.9184	0.9130	0.8697
7	07:56:01	0.1000	0.0486	0.0345	0.9408	0.9463	0.9435	0.9179	0.0642	0.9098	0.9196	0.9147	0.8760
8	07:58:44	0.1000	0.0463	0.0349	0.9376	0.9458	0.9417	0.9156	0.0692	0.8984	0.9173	0.9078	0.8635
9	08:00:08	0.1000	0.0441	0.0355	0.9458	0.9389	0.9423	0.9164	0.0619	0.9226	0.9136	0.9181	0.8784
10	08:01:31	0.1000	0.0410	0.0318	0.9470	0.9451	0.9461	0.9207	0.0605	0.9258	0.9232	0.9245	0.8848
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
1	08:11:31	0.1000	0.2525	0.0751	0.8864	0.9007	0.8935	0.8447	0.0960	0.8501	0.8792	0.8644	0.8045
2	08:12:58	0.1000	0.1038	0.0527	0.9106	0.9133	0.9119	0.8697	0.0763	0.8769	0.8890	0.8829	0.8313
3	08:14:21	0.1000	0.0804	0.0489	0.9092	0.9155	0.9124	0.8753	0.0728	0.8815	0.8954	0.8884	0.8384
4	08:15:45	0.1000	0.0670	0.0407	0.9222	0.9334	0.9277	0.8947	0.0740	0.8838	0.9106	0.8970	0.8491
5	08:17:12	0.1000	0.0596	0.0378	0.9284	0.9337	0.9310	0.9008	0.0654	0.9056	0.9159	0.9107	0.8674
6	08:18:45	0.1000	0.0544	0.0355	0.9396	0.9391	0.9393	0.9115	0.0637	0.9124	0.9145	0.9134	0.8700
7	08:20:11	0.1000	0.0503	0.0339	0.9357	0.9398	0.9377	0.9093	0.0618	0.9083	0.9187	0.9135	0.8701
8	08:21:20	0.1000	0.0453	0.0327	0.9406	0.9441	0.9424	0.9170	0.0651	0.9061	0.9136	0.9098	0.8677
9	08:22:38	0.1000	0.0423	0.0322	0.9424	0.9465	0.9444	0.9184	0.0647	0.9063	0.9212	0.9137	0.8712
10	08:23:57	0.1000	0.0398	0.0334	0.9461	0.9431	0.9446	0.9181	0.0642	0.9175	0.9198	0.9187	0.8778
