EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
1	08:42:25	0.1000	0.1059	0.0252	0.9588	0.9586	0.9587	0.9206	0.0368	0.9397	0.9518	0.9457	0.8970
2	08:43:59	0.1000	0.0439	0.0219	0.9625	0.9643	0.9634	0.9294	0.0376	0.9397	0.9520	0.9458	0.8972
3	08:45:40	0.1000	0.0365	0.0210	0.9625	0.9687	0.9656	0.9335	0.0417	0.9352	0.9587	0.9468	0.8991
4	08:47:19	0.1000	0.0323	0.0207	0.9695	0.9670	0.9682	0.9384	0.0348	0.9514	0.9538	0.9526	0.9095
5	08:48:54	0.1000	0.0289	0.0185	0.9679	0.9687	0.9683	0.9385	0.0353	0.9472	0.9538	0.9505	0.9057
6	08:50:31	0.1000	0.0266	0.0169	0.9696	0.9662	0.9679	0.9378	0.0332	0.9520	0.9508	0.9514	0.9072
7	08:51:49	0.1000	0.0256	0.0168	0.9714	0.9704	0.9709	0.9434	0.0341	0.9513	0.9587	0.9550	0.9139
8	08:53:31	0.1000	0.0245	0.0143	0.9704	0.9763	0.9733	0.9480	0.0340	0.9465	0.9614	0.9539	0.9118
9	08:55:05	0.1000	0.0225	0.0172	0.9742	0.9722	0.9732	0.9478	0.0386	0.9514	0.9561	0.9537	0.9115
10	08:56:24	0.1000	0.0219	0.0169	0.9748	0.9705	0.9727	0.9468	0.0380	0.9546	0.9531	0.9538	0.9118
